UID,State,County,Population
16,,,55465
316,,,165768
580,,,56882
630,,,3194000
850,,,106977
84001001,Alabama,Autauga County,55869
84001003,Alabama,Baldwin County,223234
84001005,Alabama,Barbour County,24686
84001007,Alabama,Bibb County,22394
84001009,Alabama,Blount County,57826
84001011,Alabama,Bullock County,10101
84001013,Alabama,Butler County,19448
84001015,Alabama,Calhoun County,113605
84001017,Alabama,Chambers County,33254
84001019,Alabama,Cherokee County,26196
84001021,Alabama,Chilton County,44428
84001023,Alabama,Choctaw County,12589
84001025,Alabama,Clarke County,23622
84001027,Alabama,Clay County,13235
84001029,Alabama,Cleburne County,14910
84001031,Alabama,Coffee County,52342
84001033,Alabama,Colbert County,55241
84001035,Alabama,Conecuh County,12067
84001037,Alabama,Coosa County,10663
84001039,Alabama,Covington County,37049
84001041,Alabama,Crenshaw County,13772
84001043,Alabama,Cullman County,83768
84001045,Alabama,Dale County,49172
84001047,Alabama,Dallas County,37196
84001049,Alabama,DeKalb County,71513
84001051,Alabama,Elmore County,81209
84001053,Alabama,Escambia County,36633
84001055,Alabama,Etowah County,102268
84001057,Alabama,Fayette County,16302
84001059,Alabama,Franklin County,31362
84001061,Alabama,Geneva County,26271
84001063,Alabama,Greene County,8111
84001065,Alabama,Hale County,14651
84001067,Alabama,Henry County,17205
84001069,Alabama,Houston County,105882
84001071,Alabama,Jackson County,51626
84001073,Alabama,Jefferson County,658573
84001075,Alabama,Lamar County,13805
84001077,Alabama,Lauderdale County,92729
84001079,Alabama,Lawrence County,32924
84001081,Alabama,Lee County,164542
84001083,Alabama,Limestone County,98915
84001085,Alabama,Lowndes County,9726
84001087,Alabama,Macon County,18068
84001089,Alabama,Madison County,372909
84001091,Alabama,Marengo County,18863
84001093,Alabama,Marion County,29709
84001095,Alabama,Marshall County,96774
84001097,Alabama,Mobile County,413210
84001099,Alabama,Monroe County,20733
84001101,Alabama,Montgomery County,226486
84001103,Alabama,Morgan County,119679
84001105,Alabama,Perry County,8923
84001107,Alabama,Pickens County,19930
84001109,Alabama,Pike County,33114
84001111,Alabama,Randolph County,22722
84001113,Alabama,Russell County,57961
84001115,Alabama,St. Clair County,89512
84001117,Alabama,Shelby County,217702
84001119,Alabama,Sumter County,12427
84001121,Alabama,Talladega County,79978
84001123,Alabama,Tallapoosa County,40367
84001125,Alabama,Tuscaloosa County,209355
84001127,Alabama,Walker County,63521
84001129,Alabama,Washington County,16326
84001131,Alabama,Wilcox County,10373
84001133,Alabama,Winston County,23629
84002013,Alaska,Aleutians East Borough,3337
84002016,Alaska,Aleutians West Census Area,5634
84002020,Alaska,Anchorage Municipality,288000
84002050,Alaska,Bethel Census Area,18386
84002060,Alaska,Bristol Bay Borough,836
84002068,Alaska,Denali Borough,2097
84002070,Alaska,Dillingham Census Area,4916
84002090,Alaska,Fairbanks North Star Borough,96849
84002100,Alaska,Haines Borough,2530
84002105,Alaska,Hoonah-Angoon Census Area,2148
84002110,Alaska,Juneau City and Borough,31974
84002122,Alaska,Kenai Peninsula Borough,58708
84002130,Alaska,Ketchikan Gateway Borough,13901
84002150,Alaska,Kodiak Island Borough,12998
84002158,Alaska,Kusilvak Census Area,8314
84002164,Alaska,Lake and Peninsula Borough,1592
84002170,Alaska,Matanuska-Susitna Borough,108317
84002180,Alaska,Nome Census Area,10004
84002185,Alaska,North Slope Borough,9832
84002188,Alaska,Northwest Arctic Borough,7621
84002195,Alaska,Petersburg Borough,3266
84002198,Alaska,Prince of Wales-Hyder Census Area,6203
84002220,Alaska,Sitka City and Borough,8493
84002230,Alaska,Skagway Municipality,1183
84002240,Alaska,Southeast Fairbanks Census Area,6893
84002261,Alaska,Valdez-Cordova Census Area,9202
84002275,Alaska,Wrangell City and Borough,2502
84002282,Alaska,Yakutat City and Borough,579
84002290,Alaska,Yukon-Koyukuk Census Area,5230
84004001,Arizona,Apache County,71887
84004003,Arizona,Cochise County,125922
84004005,Arizona,Coconino County,143476
84004007,Arizona,Gila County,54018
84004009,Arizona,Graham County,38837
84004011,Arizona,Greenlee County,9498
84004012,Arizona,La Paz County,21108
84004013,Arizona,Maricopa County,4485414
84004015,Arizona,Mohave County,212181
84004017,Arizona,Navajo County,110924
84004019,Arizona,Pima County,1047279
84004021,Arizona,Pinal County,462789
84004023,Arizona,Santa Cruz County,46498
84004025,Arizona,Yavapai County,235099
84004027,Arizona,Yuma County,213787
84005001,Arkansas,Arkansas County,17486
84005003,Arkansas,Ashley County,19657
84005005,Arkansas,Baxter County,41932
84005007,Arkansas,Benton County,279141
84005009,Arkansas,Boone County,37432
84005011,Arkansas,Bradley County,10763
84005013,Arkansas,Calhoun County,5189
84005015,Arkansas,Carroll County,28380
84005017,Arkansas,Chicot County,10118
84005019,Arkansas,Clark County,22320
84005021,Arkansas,Clay County,14551
84005023,Arkansas,Cleburne County,24919
84005025,Arkansas,Cleveland County,7956
84005027,Arkansas,Columbia County,23457
84005029,Arkansas,Conway County,20846
84005031,Arkansas,Craighead County,110332
84005033,Arkansas,Crawford County,63257
84005035,Arkansas,Crittenden County,47955
84005037,Arkansas,Cross County,16419
84005039,Arkansas,Dallas County,7009
84005041,Arkansas,Desha County,11361
84005043,Arkansas,Drew County,18219
84005045,Arkansas,Faulkner County,126007
84005047,Arkansas,Franklin County,17715
84005049,Arkansas,Fulton County,12477
84005051,Arkansas,Garland County,99386
84005053,Arkansas,Grant County,18265
84005055,Arkansas,Greene County,45325
84005057,Arkansas,Hempstead County,21532
84005059,Arkansas,Hot Spring County,33771
84005061,Arkansas,Howard County,13202
84005063,Arkansas,Independence County,37825
84005065,Arkansas,Izard County,13629
84005067,Arkansas,Jackson County,16719
84005069,Arkansas,Jefferson County,66824
84005071,Arkansas,Johnson County,26578
84005073,Arkansas,Lafayette County,6624
84005075,Arkansas,Lawrence County,16406
84005077,Arkansas,Lee County,8857
84005079,Arkansas,Lincoln County,13024
84005081,Arkansas,Little River County,12259
84005083,Arkansas,Logan County,21466
84005085,Arkansas,Lonoke County,73309
84005087,Arkansas,Madison County,16576
84005089,Arkansas,Marion County,16694
84005091,Arkansas,Miller County,43257
84005093,Arkansas,Mississippi County,40651
84005095,Arkansas,Monroe County,6701
84005097,Arkansas,Montgomery County,8986
84005099,Arkansas,Nevada County,8252
84005101,Arkansas,Newton County,7753
84005103,Arkansas,Ouachita County,23382
84005105,Arkansas,Perry County,10455
84005107,Arkansas,Phillips County,17782
84005109,Arkansas,Pike County,10718
84005111,Arkansas,Poinsett County,23528
84005113,Arkansas,Polk County,19964
84005115,Arkansas,Pope County,64072
84005117,Arkansas,Prairie County,8062
84005119,Arkansas,Pulaski County,391911
84005121,Arkansas,Randolph County,17958
84005123,Arkansas,St. Francis County,24994
84005125,Arkansas,Saline County,122437
84005127,Arkansas,Scott County,10281
84005129,Arkansas,Searcy County,7881
84005131,Arkansas,Sebastian County,127827
84005133,Arkansas,Sevier County,17007
84005135,Arkansas,Sharp County,17442
84005137,Arkansas,Stone County,12506
84005139,Arkansas,Union County,38682
84005141,Arkansas,Van Buren County,16545
84005143,Arkansas,Washington County,239187
84005145,Arkansas,White County,78753
84005147,Arkansas,Woodruff County,6320
84005149,Arkansas,Yell County,21341
84006001,California,Alameda County,1671329
84006003,California,Alpine County,1129
84006005,California,Amador County,39752
84006007,California,Butte County,219186
84006009,California,Calaveras County,45905
84006011,California,Colusa County,21547
84006013,California,Contra Costa County,1153526
84006015,California,Del Norte County,27812
84006017,California,El Dorado County,192843
84006019,California,Fresno County,999101
84006021,California,Glenn County,28393
84006023,California,Humboldt County,135558
84006025,California,Imperial County,181215
84006027,California,Inyo County,18039
84006029,California,Kern County,900202
84006031,California,Kings County,152940
84006033,California,Lake County,64386
84006035,California,Lassen County,30573
84006037,California,Los Angeles County,10039107
84006039,California,Madera County,157327
84006041,California,Marin County,258826
84006043,California,Mariposa County,17203
84006045,California,Mendocino County,86749
84006047,California,Merced County,277680
84006049,California,Modoc County,8841
84006051,California,Mono County,14444
84006053,California,Monterey County,434061
84006055,California,Napa County,137744
84006057,California,Nevada County,99755
84006059,California,Orange County,3175692
84006061,California,Placer County,398329
84006063,California,Plumas County,18807
84006065,California,Riverside County,2470546
84006067,California,Sacramento County,1552058
84006069,California,San Benito County,62808
84006071,California,San Bernardino County,2180085
84006073,California,San Diego County,3338330
84006075,California,San Francisco County,881549
84006077,California,San Joaquin County,762148
84006079,California,San Luis Obispo County,283111
84006081,California,San Mateo County,766573
84006083,California,Santa Barbara County,446499
84006085,California,Santa Clara County,1927852
84006087,California,Santa Cruz County,273213
84006089,California,Shasta County,180080
84006091,California,Sierra County,3005
84006093,California,Siskiyou County,43539
84006095,California,Solano County,447643
84006097,California,Sonoma County,494336
84006099,California,Stanislaus County,550660
84006101,California,Sutter County,96971
84006103,California,Tehama County,65084
84006105,California,Trinity County,12285
84006107,California,Tulare County,466195
84006109,California,Tuolumne County,54478
84006111,California,Ventura County,846006
84006113,California,Yolo County,220500
84006115,California,Yuba County,78668
84008001,Colorado,Adams County,517421
84008003,Colorado,Alamosa County,16233
84008005,Colorado,Arapahoe County,656590
84008007,Colorado,Archuleta County,14029
84008009,Colorado,Baca County,3581
84008011,Colorado,Bent County,5577
84008013,Colorado,Boulder County,326196
84008014,Colorado,Broomfield County,70465
84008015,Colorado,Chaffee County,20356
84008017,Colorado,Cheyenne County,1831
84008019,Colorado,Clear Creek County,9700
84008021,Colorado,Conejos County,8205
84008023,Colorado,Costilla County,3887
84008025,Colorado,Crowley County,6061
84008027,Colorado,Custer County,5068
84008029,Colorado,Delta County,31162
84008031,Colorado,Denver County,727211
84008033,Colorado,Dolores County,2055
84008035,Colorado,Douglas County,351154
84008037,Colorado,Eagle County,55127
84008039,Colorado,Elbert County,26729
84008041,Colorado,El Paso County,720403
84008043,Colorado,Fremont County,47839
84008045,Colorado,Garfield County,60061
